sock_id,pattern,dominant_color,fabric,foot,size_band,temperature_c,spin_cycle_rpm,static_cling_score,pair_probability,split
sock-00001,tiny-stars,yellow,modal,right,medium,25.9,623,0.29,0.790,train
sock-00002,ribbed,black,linen,ambiguous,large,27.8,646,0.58,0.820,train
sock-00003,heather,green,polyblend,left,xl,29.7,669,0.87,0.670,train
sock-00004,chevron,burgundy,bamboo,right,small,31.6,692,0.16,0.670,train
sock-00005,argyle,charcoal,wool,ambiguous,medium,33.5,715,0.45,0.430,train
sock-00006,plain,teal,cotton,left,large,35.4,738,0.74,0.560,train
sock-00007,dots,white,modal,right,xl,37.3,761,0.03,0.730,train
sock-00008,stripes,coral,linen,ambiguous,small,39.2,784,0.32,0.740,train
sock-00009,tiny-stars,lavender,polyblend,left,medium,41.1,807,0.61,0.680,train
sock-00010,ribbed,navy,bamboo,right,large,43.0,830,0.90,0.770,train
sock-00011,heather,yellow,wool,ambiguous,xl,44.9,853,0.19,0.490,train
sock-00012,chevron,black,cotton,left,small,46.8,876,0.48,0.590,train
sock-00013,argyle,green,modal,right,medium,48.7,899,0.77,0.760,train
sock-00014,plain,burgundy,linen,ambiguous,large,50.6,922,0.06,0.820,train
sock-00015,dots,charcoal,polyblend,left,xl,52.5,945,0.35,0.690,train
sock-00016,stripes,teal,bamboo,right,small,54.4,968,0.64,0.690,train
sock-00017,tiny-stars,white,wool,ambiguous,medium,56.3,991,0.93,0.430,train
sock-00018,ribbed,coral,cotton,left,large,58.2,1014,0.22,0.510,train
sock-00019,heather,lavender,modal,right,xl,60.1,1037,0.51,0.820,train
sock-00020,chevron,navy,linen,ambiguous,small,62.0,1060,0.80,0.850,train
sock-00021,argyle,yellow,polyblend,left,medium,63.9,1083,0.09,0.650,train
sock-00022,plain,black,bamboo,right,large,65.8,1106,0.38,0.860,train
sock-00023,dots,green,wool,ambiguous,xl,67.7,1129,0.67,0.510,train
sock-00024,stripes,burgundy,cotton,left,small,69.6,1152,0.96,0.520,train
sock-00025,tiny-stars,charcoal,modal,right,medium,71.5,1175,0.25,0.830,train
sock-00026,ribbed,teal,linen,ambiguous,large,24.4,1198,0.54,0.770,train
sock-00027,heather,white,polyblend,left,xl,26.3,1221,0.83,0.640,train
sock-00028,chevron,coral,bamboo,right,small,28.2,1244,0.12,0.710,train
sock-00029,argyle,lavender,wool,ambiguous,medium,30.1,1267,0.41,0.470,train
sock-00030,plain,navy,cotton,left,large,32.0,1290,0.70,0.690,train
sock-00031,dots,yellow,modal,right,xl,33.9,1313,0.99,0.840,train
sock-00032,stripes,black,linen,ambiguous,small,35.8,1336,0.28,0.870,train
sock-00033,tiny-stars,green,polyblend,left,medium,37.7,1359,0.57,0.720,train
sock-00034,ribbed,burgundy,bamboo,right,large,39.6,1382,0.86,0.720,train
sock-00035,heather,charcoal,wool,ambiguous,xl,41.5,1405,0.15,0.530,train
sock-00036,chevron,teal,cotton,left,small,43.4,1428,0.44,0.540,train
sock-00037,argyle,white,modal,right,medium,45.3,1451,0.73,0.360,train
sock-00038,plain,coral,linen,ambiguous,large,47.2,1474,0.02,0.860,train
sock-00039,dots,lavender,polyblend,left,xl,49.1,1497,0.31,0.730,train
sock-00040,stripes,navy,bamboo,right,small,51.0,620,0.60,0.820,train
sock-00041,tiny-stars,yellow,wool,ambiguous,medium,52.9,643,0.89,0.540,train
sock-00042,ribbed,black,cotton,left,large,54.8,666,0.18,0.640,train
sock-00043,heather,green,modal,right,xl,56.7,689,0.47,0.490,train
sock-00044,chevron,burgundy,linen,ambiguous,small,58.6,712,0.76,0.800,train
sock-00045,argyle,charcoal,polyblend,left,medium,60.5,735,0.05,0.690,train
sock-00046,plain,teal,bamboo,right,large,62.4,758,0.34,0.810,train
sock-00047,dots,white,wool,ambiguous,xl,64.3,781,0.63,0.480,train
sock-00048,stripes,coral,cotton,left,small,66.2,804,0.92,0.560,train
sock-00049,tiny-stars,lavender,modal,right,medium,68.1,827,0.21,0.500,train
sock-00050,ribbed,navy,linen,ambiguous,large,70.0,850,0.50,0.900,train
sock-00051,heather,yellow,polyblend,left,xl,71.9,873,0.79,0.750,train
sock-00052,chevron,black,bamboo,right,small,24.8,896,0.08,0.840,train
sock-00053,argyle,green,wool,ambiguous,medium,26.7,919,0.37,0.510,train
sock-00054,plain,burgundy,cotton,left,large,28.6,942,0.66,0.640,train
sock-00055,dots,charcoal,modal,right,xl,30.5,965,0.95,0.510,train
sock-00056,stripes,teal,linen,ambiguous,small,32.4,988,0.24,0.820,train
sock-00057,tiny-stars,white,polyblend,left,medium,34.3,1011,0.53,0.690,train
sock-00058,ribbed,coral,bamboo,right,large,36.2,1034,0.82,0.760,train
sock-00059,heather,lavender,wool,ambiguous,xl,38.1,1057,0.11,0.570,train
sock-00060,chevron,navy,cotton,left,small,40.0,1080,0.40,0.670,train
sock-00061,argyle,yellow,modal,right,medium,41.9,1103,0.69,0.470,train
sock-00062,plain,black,linen,ambiguous,large,43.8,1126,0.98,0.990,train
sock-00063,dots,green,polyblend,left,xl,45.7,1149,0.27,0.770,train
sock-00064,stripes,burgundy,bamboo,right,small,47.6,1172,0.56,0.770,train
sock-00065,tiny-stars,charcoal,wool,ambiguous,medium,49.5,1195,0.85,0.580,train
sock-00066,ribbed,teal,cotton,left,large,51.4,1218,0.14,0.590,train
sock-00067,heather,white,modal,right,xl,53.3,1241,0.43,0.460,train
sock-00068,chevron,coral,linen,ambiguous,small,55.2,1264,0.72,0.840,train
